gene_id	CD-PTKO_18_27m_vs_CD-PTWT_18_27m	CD_PTWT_16m_vs_CD_PTWT_6m	CD_PTWT_6m_vs_WD_PTWT_6m	CD_PTWT_18_27m_vs_CD_PTWT_6m	CD_PTWT_18_27m_vs_WD_PTWT_18_27m	WD-PTKO_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_16m_vs_WD_PTWT_6m	WD-PTWT_18_27m_vs_WD-PTKO_18_27m	CD_PTWT_16m_vs_WD_PTWT_16m	WD-PTWT_18_27m_vs_CD-PTWT_18_27m	WD_PTWT_18_27m_vs_WD_PTWT_6m	WD-PTKO_18_27m_vs_CD-PTKO_18_27m
ENSMUSG00000022372	2.14774	0.00294647	-0.16976	1.05705	0.748033	1.9779	0.722147	-1.2399799999999999	-0.9000870000000001	0.748033	1.63152	-0.165124
ENSMUSG00000022382	0.150121	-0.0383255	0.52173	-0.431812	1.08199	1.1125399999999999	0.250498	-0.0377584	0.22236	1.08199	1.1679899999999999	0.957694
ENSMUSG00000022435	1.22658	1.61068	-0.155408	0.035869	3.78367	2.0340700000000003	1.50032	1.7443	-0.0527987	3.78367	3.6601	0.792946
ENSMUSG00000022439	2.3605099999999997	-0.0958758	-0.454899	0.739104	0.21909299999999998	1.1743	-0.203172	-0.9663219999999999	-0.358143	0.21909299999999998	0.49994799999999995	-1.1816799999999998
ENSMUSG00000022445	0.22411999999999999	-0.032742400000000005	-0.672094	-0.038337	1.07864	1.14984	-0.0451461	-0.0811283	-0.6692670000000001	1.07864	0.364102	0.9284209999999999
ENSMUSG00000022464	0.18495899999999998	0.534986	0.08725939999999999	0.940083	0.0811413	0.5056229999999999	0.814854	-0.43299499999999996	-0.20206500000000002	0.0811413	1.10459	0.319036
ENSMUSG00000022488	2.11282	-0.27668000000000004	0.016669200000000002	0.46277299999999993	0.639295	1.2804	0.297946	-0.650903	-0.567513	0.639295	1.11479	-0.831384
ENSMUSG00000022508	-0.6937760000000001	-0.419754	-0.532559	0.304406	-0.45193900000000004	-1.56705	-1.04219	1.10505	0.0792572	-0.45193900000000004	-0.683718	-0.870542
ENSMUSG00000022510	0.244885	0.169971	-0.0837365	-0.253295	1.6023399999999999	0.700246	0.131196	0.892191	-0.055323699999999996	1.6023399999999999	1.26116	0.451107
ENSMUSG00000022534	3.26747	0.596422	0.728853	0.657265	1.05079	2.74416	-0.0565618	-1.7028900000000002	1.3717	1.05079	2.43388	-0.5161939999999999
ENSMUSG00000022548	1.15319	-0.677189	0.42126800000000003	1.41151	1.53576	2.6316900000000003	-0.362585	-1.10338	0.0966251	1.53576	3.3639	1.4801
ENSMUSG00000022583	-0.26868000000000003	-0.301435	-1.64703	-0.6900189999999999	0.5055069999999999	0.080785	-2.11168	0.413646	0.154866	0.5055069999999999	-1.8340900000000002	0.354485
ENSMUSG00000022584	1.0351299999999999	-0.09940589999999999	-0.0833021	0.5005930000000001	1.20245	1.48971	0.39417399999999997	-0.296684	-0.586661	1.20245	1.61565	0.454535
ENSMUSG00000022595	0.252949	-0.725194	1.31626	-1.30006	1.33604	2.53638	-0.234817	-1.20533	0.812807	1.33604	1.34849	2.2780099999999996
ENSMUSG00000022598	0.474163	1.60027	0.743297	0.5694170000000001	3.4137800000000005	4.17854	-0.00449274	-0.7681439999999999	2.33907	3.4137800000000005	4.72156	3.6933599999999998
ENSMUSG00000022602	-0.100743	0.168516	-0.141545	0.36883	0.378374	1.41249	-0.126278	-1.04093	0.142247	0.378374	0.601617	1.51253
ENSMUSG00000022651	3.66091	18.6372	-17.227	17.7993	2.84301	7.8334600000000005	-2.6387099999999997	-4.99357	0.324181	2.84301	1.7356	4.17513
ENSMUSG00000022809	0.291686	0.584863	-0.44664799999999993	1.0251700000000001	0.12444000000000001	0.349682	0.00364401	-0.236308	0.125038	0.12444000000000001	0.6988770000000001	0.0583322
ENSMUSG00000022831	1.91488	-0.27602600000000005	0.172842	0.381023	0.560765	1.50899	0.449725	-0.957471	-0.56282	0.560765	1.11074	-0.403318
ENSMUSG00000022864	1.0541	-0.634101	0.124205	0.410966	0.407075	1.7301400000000002	0.27113200000000004	-1.33169	-0.789987	0.407075	0.938091	0.676087
ENSMUSG00000022876	1.80247	-0.049825	0.12206900000000001	0.845599	0.61932	2.7554	0.26053899999999997	-2.14462	-0.197786	0.61932	1.58314	0.9576479999999999
ENSMUSG00000022877	-0.586605	-0.152672	0.8746860000000001	-0.41362600000000005	-1.79751	-3.16914	-0.0136834	1.35974	0.725337	-1.79751	-1.3399	-2.58209
ENSMUSG00000022901	1.5930799999999998	-0.7872180000000001	0.0307551	0.345053	0.266644	1.8841700000000001	-0.0529707	-1.6266399999999999	-0.712577	0.266644	0.639165	0.29525100000000004
ENSMUSG00000022912	0.963102	-0.229161	-0.183622	0.46851000000000004	0.573815	2.15605	-0.30023099999999997	-1.59023	-0.122575	0.573815	0.854777	1.19587
ENSMUSG00000022947	1.59418	0.668913	-0.695308	1.09131	0.368745	2.9698	-0.555624	-2.61127	0.520412	0.368745	0.760668	1.3800299999999999
ENSMUSG00000022952	1.16631	-0.43595100000000003	-0.5021869999999999	1.0110299999999999	0.759391	2.24468	-0.33611599999999997	-1.49315	-0.612232	0.759391	1.26411	1.0793
ENSMUSG00000023034	-0.45532399999999995	0.700998	-1.86475	1.5330000000000001	-0.695409	0.8981620000000001	-0.818527	-1.60132	-0.35679	-0.695409	-1.03044	1.35445
ENSMUSG00000023043	0.296079	0.227398	-0.229721	0.359006	0.917581	1.3687799999999999	-0.277258	-0.459794	0.265271	0.917581	1.04288	1.0748799999999998
